url,label,label_y,is_unsafe,payload_length,num_special_chars,url_depth,probability,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1,confidence_m2,detected_language_confidence,detected_language
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,59,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.826801419,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,60,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.75603354,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,60,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.807422876,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,62,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.70089972,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,62,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.711087108,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,61,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.759727895,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,61,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.683246076,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,61,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.83715862,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,61,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.759727895,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,62,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.826931715,javascript
http://localhost:8080/tienda1/publico/vaciar.jsp,0,0,0,253,0,5,0.5,0,0.9997,0.9982,0.000104888,0.001842105,0.5,0.491706133,txt
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,63,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.791904569,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,63,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.928716362,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,63,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.791904569,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,64,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.528213203,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.771176279,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.771142244,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.828112483,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.874859691,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.607465506,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.786904931,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,65,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.771176279,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,66,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.689501524,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,66,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.589552879,javascript
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,66,0,5,0.5,1,0.9997,0.9982,0.000104888,0.001842105,0.5,0.613706231,javascript
