request_id,url,payload,classification,probability,label,detected_language,detected_language_confidence
c58588cb,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=hazell&pwd=clam%21o&remember=on&B1=Entrar,safe,,0,javascript,0.8268014192581177
f14a7003,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sagers&pwd=C%21HuZAr&remember=on&B1=Entrar,safe,,0,javascript,0.7560335397720337
585a09c4,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=verde&pwd=en683%2467&remember=on&B1=Entrar,safe,,0,javascript,0.8074228763580322
49ae84db,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=nolie&pwd=nort%24e%D1a&remember=on&B1=Entrar,safe,,0,javascript,0.7008997201919556
eec2107c,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=niu&pwd=raqu%24%ED9omo&remember=on&B1=Entrar,safe,,0,javascript,0.7110871076583862
4e7df868,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,safe,,0,javascript,0.7597278952598572
df602a2c,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=bnrinfo&pwd=fasc%21es&remember=on&B1=Entrar,safe,,0,javascript,0.6832460761070251
f99f94e1,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=abbai&pwd=incesta%24r&remember=on&B1=Entrar,safe,,0,javascript,0.8371586203575134
4e7df868,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,safe,,0,javascript,0.7597278952598572
5e09e0f7,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sunning&pwd=t%2174ador&remember=on&B1=Entrar,safe,,0,javascript,0.8269317150115967
023e3f36,http://localhost:8080/tienda1/publico/vaciar.jsp,modo=registro&login=ronna&password=96r1ulg30&nombre=Berto&apellidos=Binder+Gene&email=limburg%40estoespresto.cd&dni=04607227M&direccion=C%2F+Cuenca+S%2FN+&ciudad=Chilches%2FXilxes&cp=18410&provincia=Baleares+%28Illes%29&ntc=4963506739861376&B1=Registrar,safe,,0,txt,0.49170613288879395
78b0db05,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,safe,,0,javascript,0.7919045686721802
f63bc697,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=yutaka&pwd=OficioS%24O&remember=off&B1=Entrar,safe,,0,javascript,0.9287163615226746
78b0db05,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,safe,,0,javascript,0.7919045686721802
fb365e43,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=myranda&pwd=%24vastedad&remember=off&B1=Entrar,safe,,0,javascript,0.5282132029533386
a1e7c989,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=conroy7&pwd=nordes%21tal&remember=off&B1=Entrar,safe,,0,javascript,0.771176278591156
b7f22f65,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=afkham&pwd=o%24ficinesca&remember=off&B1=Entrar,safe,,0,javascript,0.7711422443389893
9b043391,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=andrease&pwd=01E9%246D5l7&remember=on&B1=Entrar,safe,,0,javascript,0.8281124830245972
5c7b0249,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=mariele&pwd=De%24liCtIvo&remember=off&B1=Entrar,safe,,0,javascript,0.8748596906661987
601eedae,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=zhiyong&pwd=cha%249i74r0&remember=off&B1=Entrar,safe,,0,javascript,0.6074655055999756
26ad5d2d,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=delila&pwd=ipe%24cacuana&remember=off&B1=Entrar,safe,,0,javascript,0.7869049310684204
a1e7c989,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=conroy7&pwd=nordes%21tal&remember=off&B1=Entrar,safe,,0,javascript,0.771176278591156
411d4fed,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=raudres&pwd=s%21u2ceP7ivo&remember=off&B1=Entrar,safe,,0,javascript,0.6895015239715576
7f6c3841,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=krystall&pwd=EnSaCad%24oRa&remember=on&B1=Entrar,safe,,0,javascript,0.5895528793334961
24ab5a8e,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=guillory&pwd=Arme%21LlUElA&remember=on&B1=Entrar,safe,,0,javascript,0.6137062311172485
9394c7cd,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=jehovah&pwd=%24amarulencia&remember=off&B1=Entrar,safe,,0,javascript,0.8883374929428101
28f84957,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=clipsham5&pwd=lIMpi%24a%FA%F1as&remember=off&B1=Entrar,safe,,0,txt,0.48254889249801636
323dc1d4,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=fadlalla&pwd=F09%24M3nATriz&remember=off&B1=Entrar,safe,,0,javascript,0.8815411329269409
c97ac78e,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=lehar&pwd=78102d84%21am1nte&remember=off&B1=Entrar,safe,,0,javascript,0.5565953850746155
5089072b,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=ursala&pwd=plu1bagin%E1%21ceo&remember=off&B1=Entrar,safe,,0,javascript,0.6351938247680664
df12fac1,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=smithdea&pwd=lucembu%24rgu%E9s&remember=off&B1=Entrar,safe,,0,javascript,0.8590041995048523
df12fac1,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=smithdea&pwd=lucembu%24rgu%E9s&remember=off&B1=Entrar,safe,,0,javascript,0.8590041995048523
