request_id,url,payload,detected_language,is_unsafe,payload_length,num_special_chars,url_depth,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1
1523e41c,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=hazell&pwd=clam%21o&remember=on&B1=Entrar,,0,59,0,5,0,100.0,100.0,-99.0,-99.0
a007c55f,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sagers&pwd=C%21HuZAr&remember=on&B1=Entrar,,0,60,0,5,0,100.0,100.0,-99.0,-99.0
14249ef7,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=verde&pwd=en683%2467&remember=on&B1=Entrar,,0,60,0,5,0,100.0,100.0,-99.0,-99.0
dda83c33,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=nolie&pwd=nort%24e%D1a&remember=on&B1=Entrar,,0,62,0,5,0,100.0,100.0,-99.0,-99.0
d717a872,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=niu&pwd=raqu%24%ED9omo&remember=on&B1=Entrar,,0,62,0,5,0,100.0,100.0,-99.0,-99.0
30c3e1a6,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,,0,61,0,5,0,100.0,100.0,-99.0,-99.0
d71a431c,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=bnrinfo&pwd=fasc%21es&remember=on&B1=Entrar,,0,61,0,5,0,100.0,100.0,-99.0,-99.0
6e65fe58,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=abbai&pwd=incesta%24r&remember=on&B1=Entrar,,0,61,0,5,0,100.0,100.0,-99.0,-99.0
8620f8da,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,,0,61,0,5,0,100.0,100.0,-99.0,-99.0
4eef8d46,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sunning&pwd=t%2174ador&remember=on&B1=Entrar,,0,62,0,5,0,100.0,100.0,-99.0,-99.0
