url,label,detected_language,label_y,is_unsafe,payload_length,num_special_chars,url_depth,probability,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1,confidence_m2,request_id
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,59,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,9874859e
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,60,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,18e6cb0a
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,60,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,df6fad7d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,62,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,5790fb1f
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,62,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,d2624e85
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,61,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,edffd4d1
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,61,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,3d845557
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,61,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,87aa25b9
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,61,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,edffd4d1
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,62,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,5ea12da6
http://localhost:8080/tienda1/publico/vaciar.jsp,0,0,0,0,253,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,d03c1d0d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,63,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,0b250651
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,63,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,c8b0d253
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,63,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,0b250651
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,64,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,d33f472d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,88e83eba
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,b5b0c9a2
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,5e003345
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,e793e020
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,d28973e2
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,6d6ff94e
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,65,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,88e83eba
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,66,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,082bd901
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,66,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,d6be92c2
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,66,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,3a5c7748
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,67,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,82aa80aa
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,72,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,da88b3c0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,68,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,1cc1171d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,68,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,17221ed8
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,70,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,87cbf791
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,71,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,496b659d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,71,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,496b659d
http://localhost:8080/tienda1/publico/caracteristicas.jsp,0,0,0,0,70,0,5,0.5,0,0.9997,0.9982,0.000104887770086,0.0018421052631578,0.5,0dd91d55
